web-scraper-order,web-scraper-start-url,titoli,link,link-href,descr,autor,date,skill
"1611342912-3020","https://www.udemy.com/courses/it-and-software/?lang=it&p=12&sort=newest","","Programmare con Python e Reverse ShellLearn to hack with PythonGiuseppe CompareValutazione: 4,1 su 54,1(18)2,5 ore totali12 lezioniIntermedioPrezzo attuale29,99 €","https://www.udemy.com/course/programmare-con-python-e-reverse-shell/","","","Ultimo aggiornamento 12/2018","Cosa impareraiGli studenti impareranno ad utilizzare il linguaggio di programmazione Python.Occupandomi di sicurezza informatica alla fine del corso ci sarà un esempio di Reverse Shell."
"1611342631-2910","https://www.udemy.com/courses/it-and-software/?lang=it&p=13&sort=newest","Creare siti web dinamici con PHP e MySQL","","","","","null",""
"1611343095-3097","https://www.udemy.com/courses/it-and-software/?lang=it&p=10&sort=newest","Diventa Sistemista CISCO - Livello 2","","","","","null",""
"1611342631-2904","https://www.udemy.com/courses/it-and-software/?lang=it&p=13&sort=newest","Impara il web application penetration testing da %00","","","","","null",""
"1611343714-3344","https://www.udemy.com/courses/it-and-software/?lang=it&p=6&sort=newest","Workshop completo di base su tecnologia MikroTik RouterOS","","","","","null",""
"1611343879-3430","https://www.udemy.com/courses/it-and-software/?lang=it&p=5&sort=newest","","Adobe Premiere Pro CC (2020-2021): da principiante a espertoUn cammino di apprendimento delle tecniche di montaggio video professionale.Overlook Art, Massimiliano ZeuliValutazione: 4,3 su 54,3(5)12,5 ore totali89 lezioniTutti i livelliPrezzo attuale149,99 €","https://www.udemy.com/course/adobe-premiere-pro-cc-2020-da-principiante-ad-esperto/","DescrizioneIl corso avanzato di Adobe Premiere Pro CC, oltre ad essere una guida essenziale al software di editing video più famoso al mondo, è un cammino di apprendimento di tecniche di montaggio video professionali. In questo corso imparerai ad editare video come un professionista e potrai sfruttare le tue conoscenze in ambito lavorativo in tutto il mondo.Dopo il successo del precedente corso, con più di 3000 iscritti, ecco il nuovo corso completo, realizzato con la versione 2020/2021.Grazie a questo corso acquisirai le competenze necessarie per sostenere l'esame utile ottenere la certificazione Adobe Certified Expert. Sotto la guida esperta di un professionista del settore, analizzeremo tutti gli strumenti fondamentali e le funzioni principali di Adobe Premiere Pro CC (con aggiornamenti in corso per l'anno 2021), dalle più semplici alle più avanzate: Strumenti di editing, Gestione del flusso di lavoro, Animazione, Mascheratura e Tracciamento, Regolazione del colore, Gestione dell'audio, Tecniche di montaggio, Trasparenza... e molto altro ancora. Non sarai un semplice spettatore, ma parte attiva delle lezioni. Al termine del corso potrai lasciare i tuoi spettatori a bocca aperta!Il corso è diviso in diverse sezioni in base all'argomento trattato. All'inizio di ogni sezione troverai a disposizione tutte le risorse didattiche (video, musica, progetti, contenuti extra) per lavorare insieme agli stessi progetti e per scoprire trucchi e tecniche di editing video. Troverai anche i progetti finali delle esercitazioni svolte. Sarà come lavorare ad un'unica, grande e completa sessione di montaggio video dove lavoreremo l'uno accanto all'altro. Se dovessi avere dubbi o bisogno di aiuto potrai ricercare l'argomento di tuo interesse nella sezione dedicata alle FAQ degli allievi; se non avrai trovato quello che cerchi potrai contattarmi e cercherò di risponderti nel più breve tempo possibile. A chi è rivolto questo corso:Chiunque desideri imparare a realizzare montaggi video professionaliChi vuole diventare un film makerChi vuole diventare un regista televisivoChiunque desideri diventare un videomakerChi vuole diventare un video editorChi vuole diventare un montatore videoMostra di piùMostra meno","","Ultimo aggiornamento 1/2021",""
"1611343854-3417","https://www.udemy.com/courses/it-and-software/?lang=it&p=5&sort=newest","Rilievo fotogrammetrico del costruito con drone o fotocamera","","","","","null",""
"1611342812-2971","https://www.udemy.com/courses/it-and-software/?lang=it&p=12&sort=newest","RESUSCITA IL TUO COMPUTER CON PPP PC POWER PRO 2021","","","","","null",""
"1611342952-3045","https://www.udemy.com/courses/it-and-software/?lang=it&p=11&sort=newest","ASP.NET Core per tutti: costruiamo un'applicazione web!","","","","","null",""
"1611342812-2970","https://www.udemy.com/courses/it-and-software/?lang=it&p=12&sort=newest","Linux da zero a esperti per Sviluppatori Web","","","","","null",""
